city,timestamp,id,type,sub_type,tag,x,y,z,length,width,height,theta,v_x,v_y,intersect_id,weather,ori_clip_index,blueprint
PEK,1649068709.8,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.5541635014,4731627.906231278,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068709.9,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.5541635014,4731627.906231278,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,5.820766091346741e-10,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.0,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.5541635015,4731627.906231278,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.1,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.5541635015,4731627.906231278,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,-9.313225746154784e-09,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.2,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.5541635015,4731627.906231277,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,1.746229827404022e-09,1.862645149230957e-08,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.3,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.4,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.5,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.6,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.7,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.8,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068710.9,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.0,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.1,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.2,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.3,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.4,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.5,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
PEK,1649068711.6,200002,BICYCLE,MOTORCYCLIST,OTHERS,417897.55416350166,4731627.906231279,0,1.91841685771942,0.482499986886978,1.08739531040192,2.1373658183274897,0.0,0.0,yizhuang#4-1_po,Cloudy,917,vehicle.vespa.zx125
